Original Time,Rewritten Time
1 August 2017,the start of August 2017
18 July 2019,July last year
"July 20, 1950",shortly after his graduation
"April 21, 1961",the same month
"April 18, 1962",earlier that year
July 1988 to August 1996,from July 1988 to August 1996
1864,over a century and a half ago
1940s,around eight decades ago
1964,sixty years ago
1907,early 1900s
1917,a decade later
1909,a little over a decade into the 1900s
"June 3, 1923",mid-1923
1924,a year later
October 1925,late 1925
"March 5, 1925",early March 1925
"December 7, 1925",later in 1925
July 1926,a year later
September 1926,late 1926
1927,late 1920s
"February 25, 1927",early 1927
"April 26, 1927",late April 1927
"July 18, 1927",mid-1927
"January 2, 1928",early January 1928
"March 21, 1928",late March 1928
"May 8, 1928",early May 1928
"May 27, 1929",late May 1929
1930,a year later
"March 1, 1932",early March 1932
"March 1, 1932",that same early March day
"September 19, 1934",mid-September 1934
"February 13, 1935",mid-February 1935
"April 3, 1936",early April 1936
December 1937,late December 1937
1937,a couple of years after
1938,a year later
"April 2, 1939",early April 1939
August 1939,late summer 1939
1941,a year later
"April 28, 1941",late April 1941
1943,the following year
"October 22, 1944",late October 1944
1958,late 1950s
1967,late 1960s
1959,late 1950s
1961,early 1960s
1968,late 1960s
March 1970,a couple of years prior to 1972
1971,a year before
"August 26, 1974",late August 1974
1984,mid-1980s
1977,two decades late
1998,two decades later
2003,twenty years after
March 1943,during World War II
October 1943,later that same year
January 1944,the following year
September 1943,about 80 years ago
"April 6, 1943",in the early 1940s
"July 2, 1943",a couple of months later
February 21,early part of a new year
June 1944,early on in 1944
February 1945,early in 1945
July 1945,that summer
December 1946,the final month of 1946
March 1947,early 1947
March 1946,early 1946
December 1948,as the decade was drawing to a close
October 1952,late 1952
November 1956,late 1956
April 1959,spring 1959
"October 1, 1958",a few years before the first human went to space
"December 17, 1958",shortly before the year closed
1959,the late '50s
"April 1, 1959",just one month later
"April 9, 1959",just days later
"May 18, 1959",mid-May
1962,early 1960s
1965,NASA a few years later
1965,later in 1965
1968,a few years into the '60s
1968,midway into the 1960s
1968,just earlier that year
1970,the same year
1971,early in the 1970s
January 1999,a couple of years later
January 1974,the first month of 1974
1976,a couple of years after his election to the Senate
1978,His military and space awards were stolen from his home that same year
late 1982,Kennedy's 1982 announcement
1987,midway through the 1980s
1996,a year later
"February 20, 1997",35 years since his Friendship 7 flight
January 1999,a couple of years later
1999,As the millennium turned
"September 5, 2009",many years ago
2011,just over a decade ago
"February 20, 2012",50 years since the Friendship 7 flight
February 2015,the first quarter of the decade
June 2016,following shortly the announcement of his renamed institute
"December 8, 2016",a few days after being hospitalized
"April 6, 2017",many decades later
in 1971,"""at the start of the early '70s"""
in 1978,"""a year after their son was seven years old"""
in 2002,"""that year"""
"December 12, 2007","""by the end of 2007"""
1986 United States bombing,long ago during U.S. military actions
1998,about two decades back
August 2000,around two decades ago
22 June 2001,around a year later
2002,a couple of years later
1995,regarding an article
2006,the mid-2000s
2005 to 2011,spanned several years in the late 2000s and early 2010s
August 2008,a few years before 2011
14 August 2008,mid-August a year or so before the 2010s
30 August 2008,end of summer 2008
2009,a year before the end of the 2000s
2009,During the same year
2009,that year
November 2010,late 2010
beginning of 2011,beginning of the 2010s
June 2011,by mid-2011
27 April 2011,in spring 2011
30 April 2011,a few days before the start of May 2011
2 May 2011,beginning of May 2011
27 June 2011,late June 2011
27 June 2011,the same day
3 August 2011,a couple of months later in 2011
21 August 2011,around mid-August 2011
17 October 2011,mid-October 2011
20 October 2011,on the same day
24 October 2011,a couple of days later
19 November 2011,about a month later
19 November 2011,on that same day
September 2012,late September 2012
June 2012,summer of 2012
17 January 2013,early 2013
April 2014,early 2014
June 2014,mid-2014
28 July 2015,late July 2015
28 July 2015,on that same day
April 2016,early 2016
July 2016,mid-2016
November 2016,during his stay in 2016
10 June 2017,mid-2017
July 2018,mid-2018
17 February 2018,A few months later in 2018
May 2019,Spring 2019
1985,a few decades back
1990,that time
1992,XTC album Nonsuch
2014,a couple of years later
1993,this period
1993,early 90s
1996,mid-90s
2001,early 2000s
2002,a year later
July 2007,the middle of 2007
early January 2007,dawn of 2007
in 2007,the same year
April 2007,shortly in 2007
August 2008,the following year
2009,the next year
June 2009,some months later
November 2009,early November 2009
October 2009,later that month
9 March 2009,earlier that year
June 2010,a year later
2010,the following years
December 2010,later that year
2010,later that year
September 2011,towards the end of summer in 2011
May 2012,late spring in 2012
1926,a few years after 1921
1927,the year after his recommendation
1930,two years after his joining of the squadron
1931,the early 1930s
January 1935,early 1935
1 - 3: 1923,almost a century ago
1 - 3: 1929,over 90 years ago
1928–1973,mid-20th century
2 - 2: 1923,nearly a century ago
2 - 2: 1929,over 90 years ago
1931,less than a decade after joining the Party
1,late 21st decade
2,almost a century ago
3,in the early years of the 1930s
5,early 1934
6,nearly eight decades
7,during the post-World War II era
8,in the aftermath of World War II
9,in the late 1940s
12,mid-1950s
13,mid-1950s
14,early December of early 1960s
15,following year
16,mid-late 1970s
17,late 1970s
18,mid 1970s
19,early 1980s
20,during the late 1980s and early 1990s
21,late 1980s
22,in the mid-1990s
25,early 2000s
27,early 2000s
September 1927,seventeen years after 1910
August 1938,two years before September 1939
August 1938,That August
June 1938,In June of that year
November 1940,Two months after that
April 1940,eighteen days into April 1940
10 May 1940,forty days later
31 May 1940,two months later
7 September 1940,On that year's 7 September
23 September 1940,sixteen days after 7 September 1940
August 1941,approximately nine months later
18 March 1941,approximately three months earlier
1 April 1941,six months before November 1941
23 November 1941,another six months after that
30 June 1941,nine months after that
June 1942,four months later
6 February 1942,Nine days later
26 February 1942,later that same month
13 June 1943,three months after that
27 November 1946,end of that year's November
18 December 1947,three days shy of a year after November 1946
9 January 1948,The 13th day after it became 1948
1915,during the third year of World War I
1916,the following year
1923,In the early 1920s
July 1926,mid-1926
1924,the middle of the decade
1929,just before the Great Depression
1929,the same year
1930,early 1930s
1930,around this time
6 August 1931,the summer after earning his pilot's license
May 1932,the spring of the following year
1934,a couple of years later
1934,the same year
1938,decades before the fall of the Soviet Union
March 1938,the spring of the same year
27 June 1938,a few months after Glushko
1944,at the end of World War II
1945,a memorable football game
1947,the post-war years
1949,shortly before the Korean War
"February 24, 1949",the spring of that year
"September 9, 1949",as summer ended
"August 16, 1950",the cusp of entering the 1950s
"November 27, 1950",as the year drew to a close
"January 5, 1951",shortly after the new year began
"June 5, 1951",as the summer of 1951 approached
"June 7, 1951",soon after
"June 28, 1951",by the end of June in that same year
May 1952,just before the summer of the following year
"February 25, 1952",shortly after
"August 23, 1952",as summer was ending
"May 9, 1953",the following spring
1954,a year later
"March 1, 1955",just as spring began
"July 11, 1955",just over a decade before the moon landing
"January 28, 1956",in the early months of 1956
